n,error
708,-0.611481
709,0.000101524
710,0.000102637
711,-0.608897
712,0.000104849
713,-0.607187
714,-0.606335
715,0.000108133
716,0.000109219
717,0.0001103
718,-0.602952
719,0.000112448
720,0.000113516
721,-0.60044
722,-0.599607
723,-0.598777
724,0.000117742
725,-0.597122
726,-0.596299
727,-0.595477
728,-0.594658
729,-0.593841
730,-0.593027
731,-0.592214
732,0.000125987
733,-0.590596
734,0.000128006
735,-0.588986
736,0.000130009
737,0.000131004
738,0.000131995
739,0.000132982
740,-0.585001
741,-0.58421
742,-0.583422
743,0.000136891
744,0.000137859
745,0.000138822
746,-0.580289
747,0.000140738
748,0.00014169
749,0.000142638
750,0.000143582
751,0.000144523
752,-0.575652
753,-0.574887
754,0.000147322
755,-0.573361
756,-0.572602
757,-0.571844
758,0.000151003
759,0.000151914
760,0.000152822
761,-0.568834
762,-0.568087
763,-0.567341
764,-0.566597
765,-0.565856
766,0.000158193
767,0.000159076
768,-0.563642
769,0.000160831
770,0.000161704
771,-0.561446
772,0.000163439
773,0.000164302
774,-0.559266
775,-0.558543
776,-0.557823
777,0.000167718
778,0.000168564
779,0.000169407
780,-0.554958
781,0.000171083
782,0.000171916
783,-0.552828
784,0.000173572
785,0.000174396
786,-0.550715
787,-0.550014
788,0.000176848
789,-0.548618
790,0.000178467
791,-0.547229
792,0.000180074
793,-0.545847
794,0.000181668
795,0.000182461
796,0.000183251
797,-0.543103
798,-0.542421
799,0.000185603
800,0.000186381
801,-0.540387
802,-0.539712
803,0.000188698
804,0.000189464
805,-0.537698
806,-0.53703
807,-0.536363
808,-0.535698
809,0.000193254
810,0.000194003
811,0.00019475
812,-0.533056
813,0.000196236
814,0.000196974
815,-0.53109
816,0.000198443
817,0.000199174
818,0.000199901
819,-0.528493
820,-0.527847
821,0.000202069
822,-0.526561
823,0.0002035
824,0.000204212
825,-0.524643
826,0.000205629
827,0.000206333
828,-0.52274
829,0.000207734
830,0.00020843
831,-0.52085
832,0.000209816
833,-0.519597
834,-0.518973
835,-0.518351
836,0.000212558
837,-0.51711
838,-0.516492
839,0.000214589
840,-0.515261
841,0.00021593
842,-0.514035
843,0.000217262
844,0.000217925
845,-0.512207
846,0.000219243
847,0.000219899
848,-0.510392
849,0.000221203
850,-0.50919
851,0.000222497
852,0.000223142
853,0.000223783
854,-0.506801
855,-0.506207
856,-0.505615
857,0.000226328
858,0.000226959
859,-0.503847
860,0.000228213
861,0.000228837
862,-0.502091
863,0.000230079
864,0.000230696
865,-0.500347
866,0.000231925
867,0.000232536
868,-0.498615
869,-0.49804
870,-0.497467
871,0.00023496
872,0.00023556
873,-0.495754
874,-0.495186
875,0.00023735
876,-0.494054
877,0.000238533
878,0.000239122
879,0.000239708
880,0.000240293
881,0.000240875
882,0.000241456
883,0.000242034
884,-0.489576
885,-0.489022
886,0.000243758
887,0.000244329
888,0.000244897
889,0.000245464
890,-0.486271
891,-0.485724
892,0.000247153
893,-0.484635
894,0.00024827
895,0.000248826
896,0.000249379
897,-0.48247
898,-0.481932
899,-0.481395
900,-0.480859
901,0.00025212
902,-0.479792
903,0.000253204
904,-0.478728
905,0.00025428
906,0.000254816
907,-0.477142
908,0.000255882
909,0.000256412
910,-0.475567
911,-0.475044
912,0.000257992
913,-0.474002
914,-0.473483
915,-0.472964
916,0.000260075
917,-0.471931
918,-0.471416
919,0.00026162
920,-0.47039
921,0.000262641
922,-0.469368
923,-0.468859
924,-0.46835
925,-0.467843
926,0.000265165
927,-0.466832
928,-0.466328
929,-0.465826
930,-0.465324
931,-0.464823
932,0.000268141
933,0.000268631
934,-0.463328
935,0.000269607
936,-0.462337
937,0.000270577
938,-0.461349
939,0.00027154
940,-0.460366
941,0.000272498
942,0.000272974
943,-0.458899
944,-0.458412
945,-0.457926
946,0.000274865
947,-0.456958
948,0.000275801
949,0.000276267
950,-0.455513
951,-0.455033
952,-0.454554
953,0.000278116
954,-0.4536
955,0.000279032
956,-0.452649
957,-0.452175
958,-0.451703
959,0.000280847
960,0.000281297
961,-0.45029
962,-0.449822
963,-0.449354
964,-0.448887
965,0.000283527
966,0.000283968
967,0.000284409
968,0.000284848
969,-0.446567
970,-0.446106
971,0.000286157
972,-0.445186
973,-0.444728
974,0.000287454
975,-0.443815
976,-0.443359
977,-0.442905
978,0.000289164
979,-0.441998
980,0.000290012
981,-0.441096
982,0.000290854
983,-0.440197
984,-0.439749
985,-0.439302
986,-0.438855
987,-0.43841
988,0.000293351
989,-0.437522
990,0.000294173
991,-0.436638
992,-0.436197
993,0.000295396
994,0.000295802
995,-0.43488
996,0.000296609
997,0.000297011
998,0.000297412
999,-0.433135
1000,-0.432702
